taxid	species
1006155	Listeria weihenstephanensis
102148	Solobacterium moorei
102684	Streptococcus infantarius
102862	Proteus penneri
104099	Acetobacter orleanensis
104336	Microbacterium foliorum
104623	Prodigiosinella confusarubida
105841	Anaerostipes caccae
1061	Rhodobacter capsulatus
106654	Acinetobacter nosocomialis
1071053	Virgibacillus halotolerans
107401	Tenacibaculum maritimum
1089444	Dickeya solani
109790	Lactobacillus jensenii
1117645	Elizabethkingia anophelis
1126	Microcystis aeruginosa
1134687	Klebsiella michiganensis
114652	Streptococcus orisratti
114975	Sporosarcina aquimarina
1159327	Pontimonas salivibrio
1176	Aphanizomenon flos-aquae
1184	Leptolyngbya boryana
119864	Marinomonas mediterranea
1201031	Pectobacterium aroidearum
1203393	Novacetimonas maltaceti
1217282	Parabacteroides faecis
1219	Prochlorococcus marinus
1245	Leuconostoc mesenteroides
1247	Oenococcus oeni
1250539	Salipiger abyssi
126157	Psychrobacillus psychrodurans
126344	Phormidium tenue
1263550	Edwardsiella piscicida
1280	Staphylococcus aureus
1281	Staphylococcus carnosus
1282	Staphylococcus epidermidis
1283	Staphylococcus haemolyticus
1284	Staphylococcus hyicus
1288	Staphylococcus xylosus
1290	Staphylococcus hominis
1292	Staphylococcus warneri
1296	Mammaliicoccus sciuri
129847	Pseudomonas grimontii
1302	Streptococcus gordonii
1303	Streptococcus oralis
1304	Streptococcus salivarius
1307	Streptococcus suis
1308	Streptococcus thermophilus
1309	Streptococcus mutans
1310165	Ralstonia pseudosolanacearum
1311	Streptococcus agalactiae
1313	Streptococcus pneumoniae
1314	Streptococcus pyogenes
1318	Streptococcus parasanguinis
1326	Streptococcus acidominimus
1326968	Bacillus australimaris
1328	Streptococcus anginosus
1329	Streptococcus canis
1334	Streptococcus dysgalactiae
1335	Streptococcus equinus
1336	Streptococcus equi
1340	Streptococcus porcinus
1343	Streptococcus vestibularis
1346	Streptococcus iniae
1348	Streptococcus parauberis
1351	Enterococcus faecalis
1352	Enterococcus faecium
1353	Enterococcus gallinarum
1355477	Bradyrhizobium diazoefficiens
135740	Paracoccus kondratievae
1358	Lactococcus lactis
1359	Lactococcus cremoris
1363	Lactococcus garvieae
136468	Vibrio lentus
13689	Sphingomonas paucimobilis
137591	Weissella cibaria
13769	Natrialba magadii
1377	Aerococcus viridans
1389935	Achromobacter animicus
1390	Bacillus amyloliquefaciens
1392	Bacillus anthracis
1396	Bacillus cereus
1397108	Celeribacter marinus
1402	Bacillus licheniformis
1404	Priestia megaterium
1405	Bacillus mycoides
1408	Bacillus pumilus
1422	Geobacillus stearothermophilus
1423	Bacillus subtilis
1426	Parageobacillus thermoglucosidasius
1428	Bacillus thuringiensis
1428684	Exiguobacterium alkaliphilum
1432788	Streptococcus cuniculi
1434821	Oceanospirillum sanctuarii
1450	Alicyclobacillus acidoterrestris
145458	Rathayibacter toxicus
1462	Geobacillus kaustophilus
1463165	Klebsiella quasipneumoniae
1464	Paenibacillus larvae
1465	Brevibacillus laterosporus
146537	Streptomyces azureus
146827	Corynebacterium simulans
146919	Salinibacter ruber
146922	Streptomyces griseofuscus
147645	Paracoccus yeei
1478	Peribacillus simplex
1479524	Alteromonas gracilis
149015	Streptococcus hyovaginalis
149016	Streptococcus urinalis
1491	Clostridium botulinum
1492	Clostridium butyricum
1496	Clostridioides difficile
150055	Streptococcus lutetiensis
1502	Clostridium perfringens
1509	Clostridium sporogenes
1510574	Rahnella woolbedingensis
1513	Clostridium tetani
1522	[Clostridium] innocuum
152480	Burkholderia ambifaria
152500	Burkholderia dolosa
1531	Enterocloster clostridioformis
153151	Parageobacillus toebii
155680	Streptococcus entericus
155892	Caulobacter vibrioides
1560201	Winslowiella iniecta
1579424	Streptococcus azizii
1580	Levilactobacillus brevis
1582	Lacticaseibacillus casei
1583	Weissella confusa
1584	Lactobacillus delbrueckii
158484	Cedecea davisae
1587	Lactobacillus helveticus
158836	Enterobacter hormaechei
158898	Gordonia westfalica
1589	Lactiplantibacillus pentosus
1590	Lactiplantibacillus plantarum
1596	Lactobacillus gasseri
1597	Lacticaseibacillus paracasei
1598	Limosilactobacillus reuteri
1599	Latilactobacillus sakei
1613	Limosilactobacillus fermentum
161398	Pseudoalteromonas phenolica
1615674	Pseudomonas lactis
1618	Liquorilactobacillus mali
1622	Ligilactobacillus murinus
1628085	Agathobaculum butyriciproducens
1639	Listeria monocytogenes
1639133	Citrobacter portucalensis
1641	Listeria grayi
1642	Listeria innocua
1648	Erysipelothrix rhusiopathiae
1655	Actinomyces naeslundii
1656094	Alteromonas confluentis
1660	Schaalia odontolytica
1665	Arthrobacter globiformis
