src_id	dst_id	edge_type	weight
LC644971	GCF_006539325	phage-host	1
LC644972	GCF_009914215	phage-host	1
NC_001341	GCF_000018785	phage-host	1
OQ974181	GCF_016728825	phage-host	1
NC_028834	GCF_016728825	phage-host	1
MT241605	GCF_902859635	phage-host	1
MT241607	GCF_902859635	phage-host	1
OK041469	GCF_016728825	phage-host	1
NC_023556	GCF_016728825	phage-host	1
KF787094	GCF_016728825	phage-host	1
NC_029075	GCF_016728825	phage-host	1
OQ938574	GCF_016728825	phage-host	1
NC_028768	GCF_016728825	phage-host	1
NC_049849	GCF_902860125	phage-host	1
NC_029033	GCF_016728825	phage-host	1
NC_029106	GCF_016728825	phage-host	1
NC_028908	GCF_016728825	phage-host	1
MH746817	GCF_013267395	phage-host	1
NC_054967	GCF_016728825	phage-host	1
MK962628	GCF_016728825	phage-host	1
NC_054971	GCF_016728825	phage-host	1
NC_054972	GCF_016728825	phage-host	1
NC_054968	GCF_016728825	phage-host	1
MK962632	GCF_016728825	phage-host	1
MK962638	GCF_016728825	phage-host	1
MK962639	GCF_016728825	phage-host	1
MK962640	GCF_016728825	phage-host	1
NC_054969	GCF_016728825	phage-host	1
MK962627	GCF_016728825	phage-host	1
MK962633	GCF_016728825	phage-host	1
MK962634	GCF_016728825	phage-host	1
MK962635	GCF_016728825	phage-host	1
MK962636	GCF_016728825	phage-host	1
MK962637	GCF_016728825	phage-host	1
MZ547449	GCF_022493915	phage-host	1
OP131588	GCF_900104515	phage-host	1
NC_041997	GCF_022493915	phage-host	1
MH727593	GCF_022493915	phage-host	1
OP131590	GCF_900102625	phage-host	1
OP131587	GCF_900102625	phage-host	1
OM049504	GCF_000687165	phage-host	1
OP131589	GCF_900102625	phage-host	1
NC_015250	GCF_000368805	phage-host	1
OM334891	GCF_009035845	phage-host	1
MW590698	GCF_009035845	phage-host	1
MT349887	GCF_009035845	phage-host	1
OR192057	GCF_009035845	phage-host	1
OL770258	GCF_009035845	phage-host	1
OL770259	GCF_009035845	phage-host	1
OL770260	GCF_009035845	phage-host	1
OL770261	GCF_009035845	phage-host	1
NC_042028	GCF_009035845	phage-host	1
KT588074	GCF_009035845	phage-host	1
KT588075	GCF_009035845	phage-host	1
MZ514874	GCF_009035845	phage-host	1
KT588073	GCF_009035845	phage-host	1
MT361972	GCF_009035845	phage-host	1
MT633129	GCF_009035845	phage-host	1
OR045355	GCF_009035845	phage-host	1
OR045357	GCF_009035845	phage-host	1
OR045358	GCF_009035845	phage-host	1
OR045356	GCF_009035845	phage-host	1
NC_048142	GCF_009035845	phage-host	1
NC_021316	GCF_009035845	phage-host	1
NC_041998	GCF_009035845	phage-host	1
JF317274	GCF_009035845	phage-host	1
MZ618622	GCF_009035845	phage-host	1
MH533020	GCF_009035845	phage-host	1
OP171942	GCF_009035845	phage-host	1
MT385367	GCF_009035845	phage-host	1
OL770263	GCF_009035845	phage-host	1
NC_049445	GCF_009035845	phage-host	1
MT623546	GCF_009035845	phage-host	1
MW151244	GCF_009035845	phage-host	1
ON513429	GCF_009035845	phage-host	1
OL770262	GCF_009035845	phage-host	1
OQ101250	GCF_009035845	phage-host	1
OQ101254	GCF_009035845	phage-host	1
OQ101255	GCF_009035845	phage-host	1
OQ101256	GCF_009035845	phage-host	1
OQ101257	GCF_009035845	phage-host	1
OQ101258	GCF_009035845	phage-host	1
OQ101259	GCF_009035845	phage-host	1
OQ101248	GCF_009035845	phage-host	1
OQ101249	GCF_009035845	phage-host	1
OQ101251	GCF_009035845	phage-host	1
NC_014661	GCF_000368805	phage-host	1
NC_014663	GCF_000368805	phage-host	1
OP291336	GCF_009035845	phage-host	1
KY245949	GCF_000368805	phage-host	1
NC_049511	GCF_009035845	phage-host	1
KY000079	GCF_009035845	phage-host	1
NC_002700	GCF_000369845	phage-host	1
NC_017984	GCF_009035845	phage-host	1
MZ868724	GCF_009035845	phage-host	1
ON210142	GCF_009035845	phage-host	1
MZ936315	GCF_009035845	phage-host	1
MZ868725	GCF_009035845	phage-host	1
MZ936316	GCF_009035845	phage-host	1
MZ967493	GCF_009035845	phage-host	1
MZ868726	GCF_009035845	phage-host	1
MZ936314	GCF_009035845	phage-host	1
ON237674	GCF_009035845	phage-host	1
MT783706	GCF_009035845	phage-host	1
MW176032	GCF_900444805	phage-host	1
MW316733	GCF_009035845	phage-host	1
OP508218	GCF_009035845	phage-host	1
MN516422	GCF_009035845	phage-host	1
MN516421	GCF_009035845	phage-host	1
ON036882	GCF_009035845	phage-host	1
MN276049	GCF_009035845	phage-host	1
MZ712044	GCF_009035845	phage-host	1
OM471864	GCF_009035845	phage-host	1
OQ717042	GCF_009035845	phage-host	1
MW176033	GCF_900444805	phage-host	1
MT344103	GCF_009035845	phage-host	1
MT344104	GCF_009035845	phage-host	1
MT344105	GCF_009035845	phage-host	1
NC_028848	GCF_009035845	phage-host	1
MK240351	GCF_009035845	phage-host	1
MW316732	GCF_009035845	phage-host	1
OR246918	GCF_000191145	phage-host	1
NC_028987	GCF_009035845	phage-host	1
NC_023590	GCF_009035845	phage-host	1
MW176034	GCF_900444805	phage-host	1
NC_049441	GCF_009035845	phage-host	1
MN923124	GCF_000191145	phage-host	1
MW349133	GCF_009035845	phage-host	1
NC_042137	GCF_009035845	phage-host	1
NC_042137	GCF_019343495	phage-host	1
