virus_taxid	refseq_id	host_taxid	Extracted_GCFs
2860313	LC644971	104099	GCF_006539325
2860312	LC644972	438	GCF_009914215
1977403	NC_001341	2148	GCF_000018785
3061295	OQ974181	85698	GCF_016728825
1589747	NC_028834	85698	GCF_016728825
2723726	MT241605	470868	GCF_902859635
2723727	MT241607	470868	GCF_902859635
2884451	OK041469	85698	GCF_016728825
1416009	NC_023556	85698	GCF_016728825
1416008	KF787094	85698	GCF_016728825
1589748	NC_029075	85698	GCF_016728825
3070119	OQ938574	85698	GCF_016728825
1589746	NC_028768	85698	GCF_016728825
2591403	NC_049849	1389935	GCF_902860125
1610509	NC_029033	85698	GCF_016728825
1664246	NC_029106	85698	GCF_016728825
1664247	NC_028908	85698	GCF_016728825
2292880	MH746817	32002	GCF_013267395
2591039	NC_054967	85698	GCF_016728825
2591040	MK962628	85698	GCF_016728825
2591041	NC_054971	85698	GCF_016728825
2591042	NC_054972	85698	GCF_016728825
2591043	NC_054968	85698	GCF_016728825
2591044	MK962632	85698	GCF_016728825
2591045	MK962638	85698	GCF_016728825
2591046	MK962639	85698	GCF_016728825
2591047	MK962640	85698	GCF_016728825
2591048	NC_054969	85698	GCF_016728825
2591049	MK962627	85698	GCF_016728825
2591050	MK962633	85698	GCF_016728825
2591051	MK962634	85698	GCF_016728825
2591052	MK962635	85698	GCF_016728825
2591053	MK962636	85698	GCF_016728825
2591054	MK962637	85698	GCF_016728825
2856860	MZ547449	80869	GCF_022493915
2972490	OP131588	80868	GCF_900104515
2010329	NC_041997	80869	GCF_022493915
2301642	MH727593	80869	GCF_022493915
2972491	OP131590	187868	GCF_900102625
2972492	OP131587	187868	GCF_900102625
2908629	OM049504	862720	GCF_000687165
2972493	OP131589	187868	GCF_900102625
2919552	NC_015250	40214	GCF_000368805
2914174	OM334891	470	GCF_009035845
2813175	MW590698	470	GCF_009035845
2726968	MT349887	470	GCF_009035845
3061993	OR192057	470	GCF_009035845
2920927	OL770258	470	GCF_009035845
2920928	OL770259	470	GCF_009035845
2920929	OL770260	470	GCF_009035845
2920930	OL770261	470	GCF_009035845
889876	NC_042028	470	GCF_009035845
1718840	KT588074	470	GCF_009035845
1718841	KT588075	470	GCF_009035845
2866159	MZ514874	470	GCF_009035845
1718842	KT588073	470	GCF_009035845
2735531	MT361972	470	GCF_009035845
2749428	MT633129	470	GCF_009035845
3065418	OR045355	470	GCF_009035845
3065419	OR045357	470	GCF_009035845
3065420	OR045358	470	GCF_009035845
3065421	OR045356	470	GCF_009035845
2500826	NC_048142	470	GCF_009035845
1235824	NC_021316	470	GCF_009035845
2015804	NC_041998	470	GCF_009035845
1092848	JF317274	470	GCF_009035845
2863681	MZ618622	470	GCF_009035845
2282400	MH533020	470	GCF_009035845
2972532	OP171942	470	GCF_009035845
2736222	MT385367	470	GCF_009035845
2920932	OL770263	470	GCF_009035845
2500827	NC_049445	470	GCF_009035845
2749427	MT623546	470	GCF_009035845
2781361	MW151244	470	GCF_009035845
2945715	ON513429	470	GCF_009035845
2920931	OL770262	470	GCF_009035845
3024174	OQ101250	470	GCF_009035845
3024177	OQ101254	470	GCF_009035845
3024178	OQ101255	470	GCF_009035845
3024179	OQ101256	470	GCF_009035845
3024180	OQ101257	470	GCF_009035845
3024181	OQ101258	470	GCF_009035845
3024182	OQ101259	470	GCF_009035845
3014808	OQ101248	470	GCF_009035845
3024173	OQ101249	470	GCF_009035845
3024175	OQ101251	470	GCF_009035845
760732	NC_014661	40214	GCF_000368805
760939	NC_014663	40214	GCF_000368805
2981552	OP291336	470	GCF_009035845
1917452	KY245949	40214	GCF_000368805
2178927	NC_049511	470	GCF_009035845
1913571	KY000079	470	GCF_009035845
154784	NC_002700	70347	GCF_000369845
1187128	NC_017984	470	GCF_009035845
2873387	MZ868724	470	GCF_009035845
2936913	ON210142	470	GCF_009035845
2873374	MZ936315	470	GCF_009035845
2873388	MZ868725	470	GCF_009035845
2873375	MZ936316	470	GCF_009035845
2876569	MZ967493	470	GCF_009035845
2873389	MZ868726	470	GCF_009035845
2873376	MZ936314	470	GCF_009035845
2945945	ON237674	470	GCF_009035845
2759203	MT783706	470	GCF_009035845
2853095	MW176032	471	GCF_900444805
2801401	MW316733	470	GCF_009035845
2982917	OP508218	470	GCF_009035845
2660695	MN516422	470	GCF_009035845
2660696	MN516421	470	GCF_009035845
2935725	ON036882	470	GCF_009035845
2606591	MN276049	470	GCF_009035845
2872338	MZ712044	470	GCF_009035845
2918864	OM471864	470	GCF_009035845
3036681	OQ717042	470	GCF_009035845
2853092	MW176033	471	GCF_900444805
2736181	MT344103	470	GCF_009035845
2736182	MT344104	470	GCF_009035845
2736183	MT344105	470	GCF_009035845
1647373	NC_028848	470	GCF_009035845
2500136	MK240351	470	GCF_009035845
2801402	MW316732	470	GCF_009035845
3073040	OR246918	48296	GCF_000191145
1735582	NC_028987	470	GCF_009035845
1458669	NC_023590	470	GCF_009035845
2853094	MW176034	471	GCF_900444805
2301662	NC_049441	470	GCF_009035845
2692422	MN923124	48296	GCF_000191145
2797307	MW349133	470	GCF_009035845
1970374	NC_042137	470	GCF_009035845
1970374	NC_042137	28090	GCF_019343495
1792222	NC_031117	470	GCF_009035845
2766704	MT949699	470	GCF_009035845
2801814	MW388003	470	GCF_009035845
2759216	MT741943	470	GCF_009035845
2801815	MW388001	470	GCF_009035845
2801403	MW316731	470	GCF_009035845
2801816	MW388002	470	GCF_009035845
2801817	MW388004	470	GCF_009035845
2996150	OP727261	470	GCF_009035845
3015924	OQ032511	262668	GCF_000369005
3015925	OQ032512	1752076	GCF_004208515
3024148	OQ221563	470	GCF_009035845
3053863	OR126895	470	GCF_009035845
2736236	MT409116	470	GCF_009035845
2797426	MW366784	470	GCF_009035845
3038303	OQ730192	470	GCF_009035845
2053691	MG366114	470	GCF_009035845
2053692	MG366115	470	GCF_009035845
1406779	NC_023570	470	GCF_009035845
2855484	MZ477002	470	GCF_009035845
2908260	OL763420	470	GCF_009035845
691318	NC_028675	470	GCF_009035845
1698439	NC_031086	470	GCF_009035845
1229760	NC_028995	487316	GCF_018139125
2797425	MW366783	470	GCF_009035845
1406780	NC_023581	470	GCF_009035845
2935726	ON036883	470	GCF_009035845
2060946	MG674163	470	GCF_009035845
1916127	NC_041905	470	GCF_009035845
2202135	MH517022	470	GCF_009035845
2945960	ON480525	470	GCF_009035845
2666260	MN662249	470	GCF_009035845
2053604	NC_047896	470	GCF_009035845
2059857	NC_047883	470	GCF_009035845
2488668	MK170160	470	GCF_009035845
3061301	OQ982387	470	GCF_009035845
2970326	OP019135	470	GCF_009035845
3053249	OR075895	470	GCF_009035845
3041534	OQ858591	470	GCF_009035845
2966626	OQ503491	470	GCF_009035845
1243183	NC_041857	470	GCF_009035845
3032412	OQ471969	470	GCF_009035845
1481186	NC_025462	470	GCF_009035845
2686308	NC_049491	470	GCF_009035845
2315466	NC_048074	470	GCF_009035845
2315467	NC_048075	470	GCF_009035845
2315458	NC_048080	470	GCF_009035845
2686290	NC_049490	470	GCF_009035845
2985293	OP585104	470	GCF_009035845
2985294	OP585105	470	GCF_009035845
2985295	OP585103	470	GCF_009035845
2686303	NC_049492	470	GCF_009035845
2666257	NC_049479	470	GCF_009035845
2686289	NC_049493	470	GCF_009035845
1837876	NC_041884	470	GCF_009035845
2908714	OL960030	470	GCF_009035845
1605379	NC_031280	470	GCF_009035845
2690230	NC_049494	470	GCF_009035845
2834257	MW926912	470	GCF_009035845
2315468	NC_048076	470	GCF_009035845
2883137	OK546191	470	GCF_009035845
1481187	NC_025457	470	GCF_009035845
2686438	MN807295	470	GCF_009035845
2806605	MW459163	470	GCF_009035845
2797420	MW345241	470	GCF_009035845
2500563	MK257722	470	GCF_009035845
2663328	MN614471	470	GCF_009035845
2759217	MT741944	470	GCF_009035845
2664209	MN604239	470	GCF_009035845
2675228	MN651570	470	GCF_009035845
1932886	NC_041915	470	GCF_009035845
1932885	NC_041914	470	GCF_009035845
2315601	NC_048081	470	GCF_009035845
2016049	NC_042003	470	GCF_009035845
2678937	NC_042005	470	GCF_009035845
2126803	NC_042124	470	GCF_009035845
2608294	MN212906	470	GCF_009035845
3038302	OQ730212	470	GCF_009035845
2608405	MN061582	470	GCF_009035845
1701807	NC_028684	470	GCF_009035845
1701807	NC_028684	1280	GCF_000013425
1701808	NC_028679	470	GCF_009035845
2918656	OL964948	470	GCF_009035845
2653640	MN433707	470	GCF_009035845
2867278	MZ099557	470	GCF_009035845
2930334	OM925528	470	GCF_009035845
2945957	ON323491	470	GCF_009035845
2911659	OL743187	470	GCF_009035845
2269366	NC_049438	48296	GCF_000191145
2269366	NC_049438	106654	GCF_041021905
2016052	NC_042006	48296	GCF_000191145
2016053	NC_042007	48296	GCF_000191145
2655002	NC_055823	470	GCF_009035845
2655002	NC_055823	48296	GCF_000191145
2862717	MZ593174	48296	GCF_000191145
3032263	OQ451773	48296	GCF_000191145
2878084	OK149216	470	GCF_009035845
1983409	NC_041966	470	GCF_009035845
1965454	NC_041924	470	GCF_009035845
1983525	NC_041967	470	GCF_009035845
3032371	OQ547903	106654	GCF_041021905
2945929	ON391949	470	GCF_009035845
1505225	NC_024785	470	GCF_009035845
1221835	NC_019541	470	GCF_009035845
1560342	NC_027332	470	GCF_009035845
1049283	NC_018087	470	GCF_009035845
2880361	NC_009643	1655	GCF_016127855
2099653	MG941013	1660	GCF_031191545
2951965	ON453893	1796620	GCF_002201475
2495576	MH729379	1377	GCF_001543285
3038232	OQ622094	648	GCF_900476005
2163962	MH179470	644	GCF_000014805
2163987	MH179471	644	GCF_000014805
2911441	NC_008208	645	GCF_028355655
2588098	NC_054465	948519	GCF_046079545
1932897	KY290947	645	GCF_028355655
321023	NC_007022	645	GCF_028355655
1932898	KY290951	645	GCF_028355655
1932899	KY290952	645	GCF_028355655
2907963	NC_005135	645	GCF_028355655
1932900	KY290948	645	GCF_028355655
2588516	MK813942	948519	GCF_046079545
2588099	NC_054466	948519	GCF_046079545
2588519	MK813940	644	GCF_000014805
2163978	NC_055746	644	GCF_000014805
1932901	KY290953	645	GCF_028355655
1932902	KY290954	645	GCF_028355655
1932903	KY290950	645	GCF_028355655
2163979	NC_055747	644	GCF_000014805
2163963	MH179474	644	GCF_000014805
2919549	NC_015251	645	GCF_028355655
1932896	KY290955	645	GCF_028355655
2163964	MH179479	644	GCF_000014805
2880362	NC_005260	644	GCF_000014805
2951227	ON624112	70856	GCF_037818705
1198013	NC_019543	645	GCF_028355655
2053701	NC_055733	644	GCF_000014805
2906560	OL840900	644	GCF_000014805
2906561	OL840901	644	GCF_000014805
1747286	NC_047866	644	GCF_000014805
2814919	MT161459	644	GCF_000014805
1873997	KX455876	644	GCF_000014805
2945923	ON365567	644	GCF_000014805
2138298	NC_047949	644	GCF_000014805
2138299	NC_047950	644	GCF_000014805
2724309	MT276994	644	GCF_000014805
2500821	MK318083	644	GCF_000014805
2759193	MT713136	644	GCF_000014805
2982914	OP491958	644	GCF_000014805
2698915	MN871440	645	GCF_028355655
2419736	MH791401	645	GCF_028355655
2419737	MH791407	645	GCF_028355655
2562462	MK577502	645	GCF_028355655
2698918	MN871507	645	GCF_028355655
1932904	KY290949	645	GCF_028355655
2419738	MH791404	645	GCF_028355655
2419739	MH791398	645	GCF_028355655
2698916	MN871441	645	GCF_028355655
2419740	MH791414	645	GCF_028355655
2182324	MH178096	645	GCF_028355655
2698917	MN871442	645	GCF_028355655
3003735	OP889247	654	GCF_008693705
2834248	MW978786	644	GCF_000014805
