src_id	dst_id	edge_type	weight
AP019525	NC_049340	phage-phage	0.849085
AY657002	MT303952	phage-phage	0.858225
AY657002	MT311968	phage-phage	0.802689
CP011970	NC_029048	phage-phage	1.0
CP017905	CP017906	phage-phage	0.815538
CP017905	NC_073760	phage-phage	0.848747
CP045566	MN890136	phage-phage	1.0
CP045566	MN890137	phage-phage	1.0
CP045566	MN890138	phage-phage	1.0
CP045566	MN890139	phage-phage	1.0
CP045566	MN890140	phage-phage	1.0
CP045566	MN890141	phage-phage	1.0
CP045566	MN890143	phage-phage	1.0
CP062434	CP062444	phage-phage	1.0
CP062435	CP062445	phage-phage	1.0
CP091911	CP124930	phage-phage	1.0
CP091911	CP124934	phage-phage	1.0
CP091911	CP124959	phage-phage	1.0
CP101890	CP101896	phage-phage	1.0
CP124930	CP124934	phage-phage	1.0
CP124930	CP124959	phage-phage	1.0
CP124934	CP124959	phage-phage	1.0
DQ394806	NC_004066	phage-phage	0.851654
DQ426905	JN255163	phage-phage	1.0
DQ426905	KP137432	phage-phage	1.0
DQ426905	KP137438	phage-phage	1.0
DQ426905	NC_008201	phage-phage	1.0
GQ478082	GQ478083	phage-phage	0.833742
GQ478083	NC_013646	phage-phage	0.802747
GQ478085	NC_013643	phage-phage	0.826368
GQ478087	NC_013648	phage-phage	0.871164
HE983844	NC_019813	phage-phage	0.858225
HF569090	HF569092	phage-phage	0.847572
HF569090	KC556895	phage-phage	0.874948
HF569090	KC556896	phage-phage	0.847572
HF569090	KC556898	phage-phage	0.847572
HF569090	KJ133689	phage-phage	0.805405
HF569090	KJ133693	phage-phage	0.805405
HF569090	KJ133703	phage-phage	0.805405
HF569090	NC_019447	phage-phage	0.874948
HF569092	KC556895	phage-phage	0.912276
HF569092	KC556896	phage-phage	1.0
HF569092	KC556898	phage-phage	1.0
HF569092	KJ133699	phage-phage	0.804701
HF569092	KJ133701	phage-phage	0.804701
HF569092	KJ133705	phage-phage	0.804701
HF569092	KJ133707	phage-phage	0.804701
HF569092	NC_019447	phage-phage	0.912276
HG792102	HG792103	phage-phage	0.914733
HG792102	HG803182	phage-phage	1.0
HG792102	HG803183	phage-phage	1.0
HG792102	HG803184	phage-phage	1.0
HG792102	HG803185	phage-phage	1.0
HG792103	HG803182	phage-phage	0.914733
HG792103	HG803183	phage-phage	0.914733
HG792103	HG803184	phage-phage	0.914733
HG792103	HG803185	phage-phage	0.914733
HG803182	HG803183	phage-phage	1.0
HG803182	HG803184	phage-phage	1.0
HG803182	HG803185	phage-phage	1.0
HG803183	HG803184	phage-phage	1.0
HG803183	HG803185	phage-phage	1.0
HG803184	HG803185	phage-phage	1.0
HM137666	NC_000866	phage-phage	0.857349
HQ641342	KY883641	phage-phage	0.861442
HQ641342	KY883643	phage-phage	0.88642
