src_id	dst_id	edge_type	weight
GCF_006539325	104099	host-taxonomy	1
GCF_009914215	438	host-taxonomy	1
GCF_000018785	2148	host-taxonomy	1
GCF_016728825	85698	host-taxonomy	1
GCF_902859635	470868	host-taxonomy	1
GCF_902860125	1389935	host-taxonomy	1
GCF_013267395	32002	host-taxonomy	1
GCF_022493915	80869	host-taxonomy	1
GCF_900104515	80868	host-taxonomy	1
GCF_900102625	187868	host-taxonomy	1
GCF_000687165	862720	host-taxonomy	1
GCF_000368805	40214	host-taxonomy	1
GCF_009035845	470	host-taxonomy	1
GCF_000369845	70347	host-taxonomy	1
GCF_900444805	471	host-taxonomy	1
GCF_000191145	48296	host-taxonomy	1
GCF_019343495	28090	host-taxonomy	1
GCF_000369005	262668	host-taxonomy	1
GCF_004208515	1752076	host-taxonomy	1
GCF_018139125	487316	host-taxonomy	1
GCF_000013425	1280	host-taxonomy	1
GCF_041021905	106654	host-taxonomy	1
GCF_016127855	1655	host-taxonomy	1
GCF_031191545	1660	host-taxonomy	1
GCF_002201475	1796620	host-taxonomy	1
GCF_001543285	1377	host-taxonomy	1
GCF_900476005	648	host-taxonomy	1
GCF_000014805	644	host-taxonomy	1
GCF_028355655	645	host-taxonomy	1
GCF_046079545	948519	host-taxonomy	1
GCF_037818705	70856	host-taxonomy	1
GCF_008693705	654	host-taxonomy	1
GCF_002285935	196024	host-taxonomy	1
GCF_020423125	651	host-taxonomy	1
GCF_001481395	652	host-taxonomy	1
GCF_040093675	1628085	host-taxonomy	1
GCF_013318015	358	host-taxonomy	1
GCF_009731575	239935	host-taxonomy	1
GCF_000967305	511	host-taxonomy	1
GCF_022674245	1450	host-taxonomy	1
GCF_025145845	328814	host-taxonomy	1
GCF_000808575	203795	host-taxonomy	1
GCF_002849875	28108	host-taxonomy	1
GCF_002993325	1479524	host-taxonomy	1
GCF_001953635	1892904	host-taxonomy	1
GCF_001757105	1656094	host-taxonomy	1
GCF_001886435	314275	host-taxonomy	1
GCF_020181435	105841	host-taxonomy	1
GCF_015326725	247480	host-taxonomy	1
GCF_014698755	1176	host-taxonomy	1
GCF_000238915	1665	host-taxonomy	1
GCF_039535115	43666	host-taxonomy	1
GCF_001577305	37927	host-taxonomy	1
GCF_000010645	511435	host-taxonomy	1
GCF_007827425	192	host-taxonomy	1
GCF_000009045	1423	host-taxonomy	1
GCF_000161615	1428	host-taxonomy	1
GCF_046524075	1396	host-taxonomy	1
GCF_018739485	1405	host-taxonomy	1
GCF_000008445	1392	host-taxonomy	1
GCF_000017885	1408	host-taxonomy	1
GCF_006094495	1404	host-taxonomy	1
GCF_034478925	1402	host-taxonomy	1
GCF_007830235	665099	host-taxonomy	1
GCF_024296885	2026186	host-taxonomy	1
GCF_019396925	1390	host-taxonomy	1
GCF_002243645	1478	host-taxonomy	1
GCF_000724775	28031	host-taxonomy	1
GCF_001307105	1326968	host-taxonomy	1
GCF_000621445	246272	host-taxonomy	1
GCF_002250055	33932	host-taxonomy	1
GCF_002019665	79882	host-taxonomy	1
GCF_029094545	79885	host-taxonomy	1
GCF_012225885	227866	host-taxonomy	1
GCF_000015785	492670	host-taxonomy	1
GCF_002951935	1464	host-taxonomy	1
GCF_021496385	1353	host-taxonomy	1
GCF_000025985	817	host-taxonomy	1
GCF_001314995	28116	host-taxonomy	1
GCF_018292205	47678	host-taxonomy	1
GCF_031172035	291644	host-taxonomy	1
GCF_014131755	818	host-taxonomy	1
GCF_044361425	820	host-taxonomy	1
GCF_018289135	371601	host-taxonomy	1
GCF_000172175	329854	host-taxonomy	1
GCF_001688725	1796613	host-taxonomy	1
GCF_000196175	959	host-taxonomy	1
GCF_000010425	1680	host-taxonomy	1
GCF_002715865	1684	host-taxonomy	1
GCF_017894325	1681	host-taxonomy	1
GCF_001042595	1689	host-taxonomy	1
GCF_001025215	28026	host-taxonomy	1
GCF_002846655	33905	host-taxonomy	1
GCF_900636925	518	host-taxonomy	1
GCF_034424645	521	host-taxonomy	1
GCF_001642675	1355477	host-taxonomy	1
GCF_013752735	375	host-taxonomy	1
GCF_002706795	1465	host-taxonomy	1
GCF_003932995	273384	host-taxonomy	1
GCF_900445875	31943	host-taxonomy	1
GCF_017487405	2774190	host-taxonomy	1
GCF_017487345	2774189	host-taxonomy	1
GCF_001703515	2756	host-taxonomy	1
GCF_000369945	235	host-taxonomy	1
GCF_000007125	29459	host-taxonomy	1
GCF_000007505	29461	host-taxonomy	1
GCF_000018525	36855	host-taxonomy	1
GCF_030297255	28450	host-taxonomy	1
GCF_001718895	95486	host-taxonomy	1
GCF_009586235	292	host-taxonomy	1
GCF_000959545	152480	host-taxonomy	1
GCF_016698705	28095	host-taxonomy	1
GCF_040215475	488447	host-taxonomy	1
GCF_000960995	337	host-taxonomy	1
GCF_001411805	41899	host-taxonomy	1
GCF_036352035	87883	host-taxonomy	1
